Data,Operacao,Ticker,Classe,Quantidade,Preco,Valor Total
2023-09-14,COMPRA,BBDC4.SA,AÇÃO,10,14.9,149.0
2023-09-15,COMPRA,BBAS3.SA,AÇÃO,15,47.32,709.8
2023-09-15,COMPRA,CSNA3.SA,AÇÃO,30,12.25,367.5
2023-09-18,COMPRA,KLBN11.SA,AÇÃO,10,22.94,229.4
2023-09-18,COMPRA,AESB3.SA,AÇÃO,5,11.52,57.6
2023-09-18,COMPRA,XPML11.SA,FII,1,109.71,109.71
2023-09-18,COMPRA,VGIA11.SA,FII,20,9.37,187.4
2023-09-18,COMPRA,MXRF11.SA,FII,10,10.99,109.9
2023-10-27,VENDA,BBDC4.SA,AÇÃO,10,14.52,145.2
